,Market Capitalization,Enterprise Value (MRQ),Enterprise Value/EBITDA (TTM),Total Shares Outstanding (MRQ),Number of Employees,Number of Shareholders,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Price to Book (FY),Price to Sales (FY),Average Volume (10 day),1-Year Beta,52 Week High,52 Week Low,Quick Ratio (MRQ),Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Total Debt (MRQ),Total Assets (MRQ),Dividends Paid (FY),Dividends Yield (FY),Dividends per Share (FY),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Net Margin (TTM),Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Basic EPS (FY),Basic EPS (TTM),EPS Diluted (FY),Net Income (FY),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Last Year Revenue (FY),Total Revenue (FY),Free Cash Flow (TTM)
LOWD,101.042B,99.041B,12.8727,755.003M,320K,22.129K,22.7092,1.3731,52.0598,1.4509,5.15M,1.6449,137.2900,60,0.4171,1.1965,15.2826,20.069B,26.225B,45.832B,-1.618B,1.6439,2.1300,0.1023,1.8405,0.1835,225462.5000,0.0615,0.3049,0.0962,0.0831,5.4929,5.9298,5.4859,4.268B,9.27B,6.187B,21.681B,72.148B,72.148B,5.002B
QCOMD,99.905B,83.168B,10.2470,1.125B,37K,6.683K,26.6627,4.1831,20.9734,4.5195,11.056M,1.0508,96.1700,58,1.3928,1.5667,5.4085,6.523B,16.469B,31.938B,-2.968B,2.9276,2.4800,0.1227,1.1715,0.2239,656027.0270,0.1636,0.6546,0.3397,0.3096,3.6248,3.4122,3.5951,4.386B,9.799B,2.919B,15.677B,24.273B,24.273B,7.131B
HSBC/PAD,98.557B,260.3B,—,20.366B,235K,197K,139.3756,7.9425,3.2073,5.3209,98373.2000,0.3794,27.0800,21.4915,—,1.7940,1.6400,137.771B,325.157B,2917.81B,-10.148B,6.0054,0.3210,0.0014,0.0202,0.0106,416662.0323,0.0567,—,0.2652,0.1233,0.3075,0.1851,0.3063,6.292B,—,—,—,97.916B,97.916B,—
HSBCD,98.001B,259.683B,—,4.073B,235K,197K,26.5219,1.4271,0.5904,1.0129,4.764M,0.6496,42.1656,22.6700,—,1.7940,1.6400,137.771B,325.157B,2917.81B,-9.813B,4.1355,2.5400,0.0013,0.0190,0.0100,402907.8003,0.0535,—,0.2647,0.1200,1.4867,0.8952,1.4812,6.084B,—,—,—,94.683B,94.683B,—
GILDD,97.176B,98.13B,13.0463,1.254B,11.8K,473,19.0246,4.1623,4.1614,4.2357,10.245M,0.1297,85.9700,60.8900,2.9242,3.0353,1.0865,3.073B,24.097B,59.741B,-3.222B,3.5110,2.5200,0.0810,0.2255,0.1095,1.892M,0.2196,0.7925,0.1915,0.2130,4.2409,3.9194,4.2177,5.386B,5.721B,4.552B,17.647B,22.322B,22.322B,8.377B
RYD,96.757B,263.516B,—,1.423B,85K,—,12.1799,2.1000,1.6534,1.9484,1.209M,0.8163,82.7400,49.5500,—,0.7190,3.9595,171.308B,242.424B,1206.438B,-4.584B,4.6773,3.0966,0.0075,0.1373,0.0846,595454.2505,0.1772,—,0.2016,0.2175,6.6768,5.6342,6.6573,9.784B,—,—,—,50.614B,50.614B,8.555B
UPSD,92.917B,103.356B,11.8443,862.177M,495K,174.802K,21.7751,1.2506,28.2072,1.2648,4.892M,0.6732,125.3100,82,1.2236,1.2236,9.5442,22.16B,31.62B,60.895B,-3.194B,3.7487,3.8400,0.0760,1.2693,0.1536,149327.2727,0.0574,0.1806,0.0992,0.0731,5.1400,4.9769,5.1100,4.44B,9.854B,2.613B,16.093B,73.917B,73.917B,3.113B
MMMD,90.967B,98.308B,14.1018,575.196M,96.163K,73.905K,18.6864,2.8620,9.1002,2.8987,3.412M,0.8375,187.7200,114.0400,1.1904,1.6521,2.2864,18.865B,23.342B,46.212B,-3.316B,3.7180,5.7600,0.1165,0.5009,0.1779,334182.5858,0.1537,0.4780,0.2141,0.1914,7.9203,8.6172,7.8106,4.57B,8.583B,3.939B,15.306B,32.136B,32.136B,5.595B
BTID,89.54B,—,10.0698,2.286B,59.989K,108.283K,12.4146,2.7382,1.0649,2.7383,1.779M,0.7561,45.6400,27.3200,—,0.7052,0.6997,55.961B,59.471B,186.796B,-5.866B,6.7756,3.3605,0.0390,0.0866,0.0533,550050.6550,0.2206,0.6698,0.4129,0.2866,3.1860,3.1856,3.1763,7.277B,15.218B,—,22.087B,32.997B,32.997B,8.574B
SBUXD,88.075B,98.619B,21.9386,1.168B,346K,18K,27.1779,3.3801,—,3.5509,13.632M,1.1648,99.7200,50.0200,0.5151,0.6956,-3.0425,20.294B,22.919B,27.479B,-1.761B,2.1751,1.4400,0.1503,—,0.4268,76594.2197,0.1272,0.2036,0.1369,0.1581,2.9473,2.8384,2.9186,3.599B,5.121B,824.7M,5.729B,26.502B,26.502B,1.642B
SNED,86.199B,66.392B,4.3708,1.214B,—,477.624K,16.8591,1.1785,2.2846,1.1888,1.587M,0.7006,73.8600,50.9400,0.8245,0.9190,0.3875,-13.908B,17.218B,213.416B,-455.954M,0.4283,—,0.0266,0.1488,0.1248,—,0.0706,0.3858,0.1021,0.0969,4.3378,4.3380,4.2421,5.355B,14.588B,4.131B,21.475B,75.97B,75.97B,9.437B
BLKD,85.672B,72.617B,12.8937,154.262M,16.2K,219,20.6152,5.8156,2.5621,5.8913,1.026M,1.2284,576.8100,323.9800,—,—,0.1943,2.301B,6.707B,149.02B,-2.096B,2.6145,13.2000,0.0269,0.1315,0.1116,918580.2469,0.2824,0.7886,0.3378,0.3367,28.6897,27.2411,28.4264,4.476B,5.689B,2.749B,11.939B,14.881B,14.881B,1.922B
CVSD,84.294B,157.781B,9.2534,1.307B,290K,26.656K,11.6741,0.3231,1.3148,0.3280,9.776M,0.8629,77.0300,52.0400,0.7049,0.9899,1.4100,79.606B,92.319B,230.639B,-2.603B,3.1013,2,0.0320,0.1156,0.0487,884748.2759,0.0276,0.1780,0.0503,0.0376,5.0953,5.5411,5.0797,6.629B,17.518B,12.057B,45.329B,256.577B,256.577B,11.722B
FISD,83.408B,95.219B,19.4542,617.834M,55K,10.406K,263.3114,7.7045,1.7381,6.1083,3.745M,1.0359,158.2100,91.6800,1.0530,1.0530,0.4128,19.004B,20.377B,82.474B,-656M,1.0370,1.4000,0.0031,0.0056,0.0038,187872.7273,0.0145,0.3555,0.1526,0.0188,0.6697,0.5408,0.6607,298M,4.724B,989M,3.723B,10.333B,10.333B,2.281B
DEOD,83.097B,—,21.1603,583.585M,28.15K,—,21.5498,4.9655,7.8363,5.1322,404682.7000,0.9853,176.2200,100.5179,—,1.1473,1.4596,16.533B,17.847B,42.038B,-2.101B,2.4095,3.4328,0.0936,0.3544,0.1605,591572.3280,0.2313,0.5793,0.3134,0.2855,6.7655,6.5613,6.7376,4.09B,5.862B,—,9.916B,16.653B,16.653B,2.814B
BUDD,82.388B,—,13.4602,1.633B,171.915K,—,11.4388,2.0350,1.3399,2.0051,3.132M,1.1033,102.7000,32.5800,—,0.8270,1.2187,95.712B,103.042B,238.279B,-5.014B,2.1055,—,0.0371,0.1248,0.0510,304332.0583,0.1672,0.6109,0.2957,0.2413,4.6216,4.6484,4.5258,9.169B,20.122B,—,30.152B,52.319B,52.319B,7.364B
HDBD,81.728B,123.71B,—,1.829B,98.061K,618.595K,21.5167,3.9851,3.5807,4.4487,2.369M,1.2116,65.8900,29.5000,—,—,0.9160,7.232B,21.713B,202.476B,-585.607M,0.7071,0.3161,0.0198,0.1669,0.0833,180963.9253,0.1849,—,0.2682,0.2682,1.7871,2.0476,1.7695,3.193B,—,—,—,17.746B,17.746B,—
TDD,81.568B,244.848B,—,1.803B,—,—,11.0835,1.9521,1.3206,1.8448,2.258M,0.8104,59.5500,33.7400,—,0.4639,2.5282,165.118B,169.892B,1205.043B,-3.924B,5.1324,2.1988,0.0070,0.1190,0.0773,—,0.1819,—,0.2074,0.2044,4.7614,4.1042,4.7533,8.877B,—,—,—,44.99B,44.99B,25.043B
AXPD,81.254B,89.163B,9.4521,804.972M,64.5K,19.974K,15.4804,1.7643,3.5867,1.8033,6.275M,1.7254,138.1300,67,—,—,2.6700,19.99B,56.085B,186.06B,-1.422B,1.7040,1.6400,0.0289,0.2562,0.0718,728992.2481,0.1184,0.6747,0.1480,0.1480,8.0084,6.6148,7.9892,6.712B,15.355B,7.515B,31.612B,47.02B,47.02B,1.224B
UND,80.987B,—,13.2922,1.453B,149.867K,—,22.9990,2.4914,9.7499,2.4909,2.616M,0.5233,63.6200,42,—,0.7754,2.0023,25.494B,31.21B,72.745B,-4.711B,2.7540,1.5520,0.0896,0.4495,0.1602,388201.1634,0.1083,—,0.1913,0.1561,2.4062,2.4082,2.3968,6.296B,13.352B,—,25.606B,58.179B,58.179B,7.111B
BPD,79.289B,185.135B,5.5381,3.35B,—,230.556K,19.8077,0.2877,0.8121,0.2881,11.99M,1.4324,42.7000,15.5100,0.7299,1.0136,0.7690,54.805B,77.446B,295.194B,-6.975B,10.4352,—,0.0140,0.0410,0.0254,—,0.0145,0.0957,0.0566,0.0176,1.1954,1.2029,1.1888,4.043B,33.643B,6.836B,26.729B,279.549B,279.549B,10.395B
SPGID,77.987B,64.649B,20.7430,240.9M,22.5K,2.918K,34.1416,11.5003,166.4756,12.0450,1.152M,1.0487,334.6600,186.0550,1.2387,1.2387,2.2449,2.704B,4.656B,10.463B,-560M,0.8279,2.2800,0.2331,61.0909,0.5280,297733.3333,0.3402,0.6997,0.4915,0.4688,8.6512,9.6302,8.5986,2.123B,3.599B,1.216B,4.694B,6.699B,6.699B,3.057B
JDD,76.798B,57.663B,29.6715,1.31B,227.73K,—,106.7990,1.0548,7.5638,1.0803,18.495M,0.7046,62.4200,25.7700,0.6765,1.0582,0.3338,-5.734B,4.859B,37.458B,0,0,0,0.0244,0.0778,0.0642,366608.6530,0.0098,0.1460,0.0105,0.0160,1.2108,0.5800,1.1885,1.763B,1.567B,3.189B,12.043B,83.488B,83.488B,—
NOWD,76.257B,56.639B,132.5180,190.704M,10.371K,7,117.4904,21.5665,35.7057,22.8562,1.806M,0.8144,407.9900,213.9900,0.9640,0.9640,0.5309,-659.707M,1.203B,6.197B,0,0,0,0.1277,0.3909,0.2393,333664.7382,0.1820,0.7501,0.0288,0.0342,3.3609,3.5773,3.1776,626.698M,421.44M,773.493M,2.496B,3.46B,3.46B,1.066B
