,INDUSTRY,MKT CAP,DIV YIELD,CHG PERCENT,VOL,SECTOR,STOCKS
115,Specialty Insurance ,48.605B,—,3.40%,1.141M,Finance,15
116,Specialty Stores ,414.087B,—,0.80%,1.584M,Retail Trade,56
117,Specialty Telecommunications ,57.513B,—,1.19%,2.146M,Communications,22
118,Steel ,132.537B,—,2.66%,11.821M,Non-Energy Minerals,28
119,Telecommunications Equipment ,1876.898B,—,0.14%,20.759M,Electronic Technology,51
120,Textiles ,1.932B,—,1.08%,537.317K,Process Industries,3
121,Tobacco ,276.681B,—,2.99%,5.167M,Consumer Non-Durables,7
122,Tools & Hardware ,28.757B,—,2.16%,560.501K,Consumer Durables,3
123,Trucking ,84.488B,—,0.97%,637.142K,Transportation,23
124,Trucks/Construction/Farm Machinery ,230.376B,—,1.59%,1.488M,Producer Manufacturing,37
125,Water Utilities ,62.868B,—,1.71%,508.739K,Utilities,15
126,Wholesale Distributors ,108.966B,—,0.89%,1.16M,Distribution Services,49
127,Wireless Telecommunications ,421.951B,—,0.15%,2.228M,Communications,24
