,INDUSTRY,MKT CAP,DIV YIELD,CHG PERCENT,VOL,SECTOR,STOCKS
108,Real Estate Development ,71.683,0,−0.50,1.72,Finance,49
109,Real Estate Investment Trusts ,1174.597,0,−0.22,2.794,Finance,220
110,Recreational Products ,175.91,0,0.78,4.779,Consumer Durables,28
111,Regional Banks ,597.563,0,−0.94,2.351,Finance,284
112,Restaurants ,408.391,0,−0.51,3.352,Consumer Services,47
113,Savings Banks ,31.283,0,−0.87,1.043,Finance,57
114,Semiconductors ,1635.034,0,−0.57,16.313,Electronic Technology,72
115,Services to the Health Industry ,74.892,0,−0.26,0.8705510000000001,Health Services,10
116,Specialty Insurance ,52.665,0,−0.44,1.099,Finance,15
117,Specialty Stores ,436.875,0,−0.09,1.945,Retail Trade,54
118,Specialty Telecommunications ,56.794,0,−1.98,7.458,Communications,22
119,Steel ,137.624,0,−2.04,10.033,Non-Energy inerals,28
120,Telecommunications Equipment ,2085.995,0,9.24,85.29,Electronic Technology,51
121,Textiles ,1.833,0,−0.52,0.36948000000000003,Process Industries,3
122,Tobacco ,275.796,0,−1.86,5.384,Consumer Non-Durables,6
123,Tools & Hardware ,31.582,0,−0.45,1.426,Consumer Durables,3
124,Trucking ,87.519,0,−0.72,1.318,Transportation,23
125,Trucks/Construction/Farm Machinery ,248.81,0,−1.57,2.796,Producer anufacturing,36
126,Water Utilities ,66.771,0,0.06,0.830266,Utilities,15
127,Wholesale Distributors ,118.972,0,0.17,1.498,Distribution Services,49
128,Wireless Telecommunications ,416.596,0,−0.02,2.579,Communications,24
